,id_x,price,property_type,subproperty_type,region,province,locality,zip_code,latitude,longitude,construction_year,total_area_sqm,surface_land_sqm,nbr_frontages,nbr_bedrooms,equipped_kitchen,kitchen_clusterized,fl_furnished,fl_open_fire,fl_terrace,terrace_sqm,fl_garden,garden_sqm,fl_swimming_pool,fl_floodzone,state_building,state_building_clusterized,primary_energy_consumption_sqm,epc,heating_type,fl_double_glazing,cadastral_income,id_y,_merge
19663,66561000,240000,APARTMENT,KOT,Flanders,Flemish Brabant,Leuven,3000,50.8813275,4.7095351,2023,20,,,0,MISSING,MISSING,0,0,0,0,0,0,0,0,GOOD,Yes,,MISSING,MISSING,0,,,left_only
19673,52052000,240000,HOUSE,APARTMENT_BLOCK,Wallonia,Liège,Waremme,4347,50.65353,5.4435915,2023,,0,4,2,INSTALLED,Yes,0,0,1,,0,0,0,1,AS_NEW,Yes,,MISSING,GAS,1,,,left_only
19680,19801000,240000,HOUSE,HOUSE,Brussels-Capital,Brussels,Brussels,1120,50.8929456,4.3820317,,200,0,3,3,MISSING,MISSING,0,0,0,0,1,1,0,1,TO_RENOVATE,No,597,G,MISSING,0,,,left_only
19716,21176000,240000,HOUSE,HOUSE,Flanders,West Flanders,Oostend,8450,51.2511301,2.9882457,2000,85,219,4,3,MISSING,MISSING,1,0,1,,0,0,1,1,GOOD,Yes,632,F,MISSING,0,,,left_only
19728,4271000,240000,HOUSE,HOUSE,Wallonia,Hainaut,Charleroi,6220,50.4760915,4.5481145,,150,570,2,3,MISSING,MISSING,0,0,1,,0,0,0,1,JUST_RENOVATED,Yes,282,D,MISSING,0,560,,left_only
19764,29843000,240000,HOUSE,HOUSE,Wallonia,Namur,Dinant,5555,,,2022,120,307,3,3,NOT_INSTALLED,No,0,0,1,25,1,210,0,0,AS_NEW,Yes,,MISSING,GAS,1,,,left_only
19801,42307000,240455,APARTMENT,APARTMENT,Wallonia,Hainaut,Mons,7333,50.4669516,3.805533,2022,97,,,2,NOT_INSTALLED,No,0,0,1,31,0,0,0,1,AS_NEW,Yes,76,A,GAS,1,,,left_only
19879,44686000,242054,APARTMENT,APARTMENT,Flanders,Limburg,Tongeren,3700,50.7901203,5.4808619,,76,,,1,MISSING,MISSING,0,0,1,18,0,0,0,1,MISSING,MISSING,,MISSING,MISSING,0,,,left_only
19885,1748000,242200,APARTMENT,APARTMENT,Wallonia,Liège,Liège,4430,50.6572266,5.547423,2021,98,,,2,MISSING,MISSING,0,0,1,5,0,0,0,1,AS_NEW,Yes,,MISSING,MISSING,1,,,left_only
19936,78704000,243500,APARTMENT,APARTMENT,Flanders,Antwerp,Antwerp,2100,51.2201641,4.464671,,68,,2,1,MISSING,MISSING,0,0,0,0,1,61,0,1,GOOD,Yes,,MISSING,GAS,1,1,,left_only
19965,46696000,244000,APARTMENT,APARTMENT,Flanders,East Flanders,Gent,9050,51.0339941,3.7374986,1964,113,,,2,MISSING,MISSING,0,0,0,0,0,0,0,0,TO_BE_DONE_UP,No,188,B,GAS,1,,,left_only
20012,44030000,244447,APARTMENT,APARTMENT,Flanders,Limburg,Hasselt,3945,51.0847362,5.1084893,2024,81,,2,1,USA_HYPER_EQUIPPED,Yes,0,0,1,15,1,61,0,1,MISSING,MISSING,,MISSING,MISSING,1,,,left_only
20095,46201000,245000,APARTMENT,APARTMENT,Flanders,Antwerp,Antwerp,2140,51.209232,4.4481263,,85,,2,2,MISSING,MISSING,0,0,1,,0,0,0,1,JUST_RENOVATED,Yes,128,B,MISSING,0,,,left_only
20107,53523000,245000,APARTMENT,APARTMENT,Flanders,Antwerp,Antwerp,2600,51.1837138,4.4379335,,98,,2,2,SEMI_EQUIPPED,Yes,0,1,1,8,0,0,0,1,GOOD,Yes,165,B,GAS,1,,,left_only
20133,13047000,245000,APARTMENT,APARTMENT,Flanders,Antwerp,Turnhout,2340,51.3191981,4.84867,2012,107,,2,3,INSTALLED,Yes,0,0,1,6,0,0,0,0,GOOD,Yes,79,A,GAS,1,,,left_only
20144,11005000,245000,APARTMENT,APARTMENT,Flanders,East Flanders,Gent,9000,51.0340716,3.7085203,,59,,2,1,SEMI_EQUIPPED,Yes,0,0,0,0,0,0,0,1,MISSING,MISSING,197,B,MISSING,1,,,left_only
